empleado_id,sede,area,genero,educacion_nivel,antiguedad_anios,grupo_fruta
436,Buenos Aires,Ventas,Masculino,Terciario,9,Tratamiento
437,Mendoza,Ingenieria,Femenino,Universitario,9,Tratamiento
438,Bahia Blanca,Ingenieria,Masculino,Universitario,5,Control
439,Buenos Aires,Ingenieria,Masculino,Terciario,7,Tratamiento
440,Rosario,Ingenieria,Femenino,Secundario,11,Tratamiento
441,Bahia Blanca,Ingenieria,Femenino,Terciario,10,Control
442,Cordoba,Ingenieria,Masculino,Universitario,0,Control
443,Buenos Aires,Operaciones,Masculino,Universitario,11,Tratamiento
444,Rosario,Ingenieria,Masculino,Terciario,0,Tratamiento
445,Mendoza,Producto,No binario,Posgrado,0,Tratamiento
446,Mendoza,Producto,Masculino,Posgrado,4,Tratamiento
447,Cordoba,Ingenieria,Masculino,Terciario,8,Control
448,Bahia Blanca,Ingenieria,Femenino,Posgrado,0,Control
449,Mendoza,Ventas,Femenino,Secundario,3,Tratamiento
450,Cordoba,Operaciones,Femenino,Posgrado,3,Control
451,Bahia Blanca,Ingenieria,Masculino,Posgrado,4,Control
452,Bahia Blanca,Ingenieria,Masculino,Secundario,11,Control
453,Rosario,Ingenieria,Femenino,Universitario,3,Tratamiento
454,Buenos Aires,Producto,Femenino,Posgrado,2,Tratamiento
455,Mendoza,Ventas,Masculino,Posgrado,1,Tratamiento
456,Mendoza,Ingenieria,Femenino,Posgrado,2,Tratamiento
457,Buenos Aires,Ingenieria,Masculino,Universitario,1,Tratamiento
458,Mendoza,RRHH,Masculino,Secundario,6,Tratamiento
459,Bahia Blanca,Ingenieria,Masculino,Posgrado,5,Control
460,Buenos Aires,Producto,Femenino,Universitario,5,Tratamiento
461,Mar del Plata,Ventas,Masculino,Universitario,9,Control
462,Buenos Aires,Ingenieria,Femenino,Universitario,6,Tratamiento
463,Mar del Plata,Ingenieria,Masculino,Universitario,1,Control
464,Rosario,Ingenieria,Femenino,Terciario,4,Tratamiento
465,Buenos Aires,Operaciones,Masculino,Universitario,3,Tratamiento
466,Bahia Blanca,Ingenieria,Masculino,Secundario,9,Control
467,Buenos Aires,Ingenieria,Femenino,Universitario,3,Tratamiento
468,Mendoza,Ingenieria,Femenino,Posgrado,1,Tratamiento
469,Cordoba,Ingenieria,Femenino,Universitario,8,Control
470,Bahia Blanca,Ventas,Femenino,Universitario,5,Control
471,Mar del Plata,Ingenieria,Femenino,Terciario,1,Control
472,Mar del Plata,Producto,Masculino,Posgrado,8,Control
473,Rosario,Producto,Femenino,Universitario,2,Tratamiento
474,Rosario,Operaciones,Masculino,Universitario,10,Tratamiento
475,Mendoza,Ingenieria,No binario,Terciario,9,Tratamiento
476,Mar del Plata,Operaciones,Femenino,Terciario,4,Control
477,Bahia Blanca,Ventas,Masculino,Universitario,6,Control
478,Buenos Aires,Ingenieria,Masculino,Posgrado,6,Tratamiento
479,Mendoza,Ventas,Masculino,Universitario,7,Tratamiento
480,Buenos Aires,Operaciones,Masculino,Terciario,0,Tratamiento
481,Cordoba,Ingenieria,Masculino,Posgrado,3,Control
482,Mar del Plata,Operaciones,Femenino,Universitario,2,Control
483,Cordoba,Producto,Masculino,Posgrado,8,Control
484,Mar del Plata,Ventas,No binario,Terciario,0,Control
485,Rosario,RRHH,Masculino,Universitario,6,Tratamiento
486,Cordoba,Ingenieria,Femenino,Posgrado,8,Control
487,Rosario,Operaciones,Masculino,Terciario,11,Tratamiento
488,Mendoza,Ingenieria,Femenino,Universitario,3,Tratamiento
489,Mar del Plata,Ventas,Masculino,Posgrado,0,Control
490,Mendoza,Ventas,Femenino,Terciario,8,Tratamiento
491,Bahia Blanca,Ingenieria,Masculino,Secundario,0,Control
492,Bahia Blanca,Ingenieria,Masculino,Universitario,0,Control
493,Mar del Plata,Ingenieria,Femenino,Terciario,11,Control
494,Mendoza,Ingenieria,Femenino,Secundario,10,Tratamiento
495,Cordoba,Ingenieria,Masculino,Universitario,8,Control
496,Rosario,Ingenieria,Femenino,Universitario,10,Tratamiento
497,Buenos Aires,Ingenieria,Masculino,Terciario,0,Tratamiento
498,Rosario,Ingenieria,Masculino,Terciario,1,Tratamiento
499,Bahia Blanca,Ventas,Masculino,Posgrado,3,Control
500,Rosario,Ventas,Femenino,Universitario,0,Tratamiento
501,Buenos Aires,Ventas,Masculino,Posgrado,10,Tratamiento
502,Mendoza,Ingenieria,Femenino,Universitario,0,Tratamiento
503,Bahia Blanca,Operaciones,Masculino,Posgrado,6,Control
504,Bahia Blanca,Producto,Femenino,Universitario,10,Control
505,Cordoba,Ingenieria,Femenino,Terciario,8,Control
506,Rosario,Ingenieria,Femenino,Posgrado,2,Tratamiento
507,Mendoza,Ventas,Masculino,Universitario,5,Tratamiento
508,Cordoba,Ingenieria,Femenino,Terciario,6,Control
509,Cordoba,Producto,Masculino,Terciario,9,Control
510,Cordoba,RRHH,Masculino,Universitario,5,Control
511,Bahia Blanca,Ingenieria,Masculino,Secundario,3,Control
512,Mar del Plata,Ingenieria,No binario,Terciario,9,Control
513,Bahia Blanca,RRHH,Masculino,Terciario,10,Control
514,Mar del Plata,Producto,Masculino,Universitario,5,Control
515,Bahia Blanca,Ingenieria,Femenino,Universitario,0,Control
516,Buenos Aires,Operaciones,Masculino,Universitario,6,Tratamiento
517,Bahia Blanca,Operaciones,Masculino,Terciario,10,Control
518,Buenos Aires,Producto,Masculino,Secundario,11,Tratamiento
519,Rosario,Ventas,Masculino,Universitario,4,Tratamiento
520,Mendoza,Ingenieria,No binario,Universitario,1,Tratamiento
521,Rosario,Ingenieria,Masculino,Universitario,6,Tratamiento
522,Buenos Aires,Producto,Masculino,Terciario,9,Tratamiento
523,Cordoba,Ingenieria,Masculino,Secundario,11,Control
524,Mar del Plata,Ventas,Femenino,Terciario,0,Control
525,Cordoba,Operaciones,Femenino,Universitario,3,Control
526,Cordoba,Ingenieria,Femenino,Universitario,5,Control
527,Bahia Blanca,Producto,Femenino,Posgrado,1,Control
528,Buenos Aires,Ingenieria,Femenino,Universitario,10,Tratamiento
529,Bahia Blanca,Operaciones,Masculino,Universitario,1,Control
530,Bahia Blanca,Ingenieria,Masculino,Universitario,7,Control
531,Mendoza,Ventas,Masculino,Secundario,11,Tratamiento
532,Buenos Aires,Producto,Masculino,Universitario,8,Tratamiento
533,Buenos Aires,Ingenieria,Femenino,Terciario,9,Tratamiento
534,Cordoba,Ventas,Femenino,Universitario,3,Control
535,Mendoza,Ventas,Femenino,Terciario,9,Tratamiento
536,Buenos Aires,Producto,No binario,Universitario,5,Tratamiento
537,Rosario,Ventas,Femenino,Posgrado,0,Tratamiento
538,Buenos Aires,RRHH,Masculino,Secundario,4,Tratamiento
539,Mendoza,Ingenieria,Masculino,Universitario,4,Tratamiento
540,Buenos Aires,Producto,No binario,Universitario,6,Tratamiento
541,Mar del Plata,Ingenieria,Femenino,Terciario,3,Control
542,Buenos Aires,Ventas,Femenino,Universitario,5,Tratamiento
543,Cordoba,Producto,Femenino,Universitario,5,Control
544,Cordoba,Ingenieria,Femenino,Posgrado,3,Control
545,Mar del Plata,Ingenieria,Femenino,Posgrado,8,Control
546,Buenos Aires,Operaciones,Masculino,Secundario,3,Tratamiento
547,Rosario,Ingenieria,Masculino,Universitario,9,Tratamiento
548,Mendoza,Ventas,Masculino,Universitario,3,Tratamiento
549,Mendoza,Ingenieria,Masculino,Terciario,10,Tratamiento
550,Mar del Plata,RRHH,Femenino,Terciario,4,Control
551,Mar del Plata,Ingenieria,Masculino,Posgrado,0,Control
552,Rosario,Ingenieria,Masculino,Secundario,1,Tratamiento
553,Mar del Plata,Operaciones,Masculino,Universitario,9,Control
554,Cordoba,Operaciones,Masculino,Posgrado,10,Control
555,Bahia Blanca,Ingenieria,Femenino,Terciario,2,Control
556,Mendoza,Producto,Femenino,Universitario,7,Tratamiento
557,Mar del Plata,Ventas,Femenino,Posgrado,6,Control
558,Bahia Blanca,Operaciones,Masculino,Universitario,1,Control
559,Mar del Plata,Ingenieria,Masculino,Terciario,5,Control
560,Bahia Blanca,Producto,Femenino,Secundario,8,Control
561,Mendoza,Ventas,Masculino,Posgrado,11,Tratamiento
562,Buenos Aires,Ventas,Masculino,Terciario,10,Tratamiento
563,Rosario,Ventas,Femenino,Universitario,1,Tratamiento
564,Cordoba,Producto,Femenino,Secundario,2,Control
565,Bahia Blanca,Ingenieria,Masculino,Universitario,5,Control
566,Cordoba,Operaciones,Masculino,Posgrado,1,Control
567,Cordoba,Operaciones,Masculino,Universitario,6,Control
568,Cordoba,Ventas,Femenino,Posgrado,0,Control
569,Mendoza,Ingenieria,Masculino,Terciario,1,Tratamiento
570,Mendoza,Ingenieria,Femenino,Universitario,0,Tratamiento
571,Bahia Blanca,Ventas,Masculino,Posgrado,3,Control
572,Rosario,Ingenieria,Femenino,Universitario,9,Tratamiento
573,Cordoba,RRHH,Femenino,Terciario,2,Control
574,Buenos Aires,Ingenieria,Masculino,Posgrado,11,Tratamiento
575,Buenos Aires,Ventas,Masculino,Universitario,3,Tratamiento
576,Rosario,Operaciones,Masculino,Universitario,0,Tratamiento
577,Bahia Blanca,Ingenieria,Masculino,Posgrado,4,Control
578,Mendoza,Ingenieria,No binario,Terciario,8,Tratamiento
579,Bahia Blanca,Ventas,Masculino,Terciario,1,Control
580,Buenos Aires,Producto,Masculino,Secundario,0,Tratamiento
581,Buenos Aires,Ingenieria,Masculino,Universitario,10,Tratamiento
582,Bahia Blanca,Ventas,Femenino,Terciario,7,Control
583,Buenos Aires,RRHH,Masculino,Universitario,4,Tratamiento
584,Buenos Aires,Producto,Femenino,Terciario,9,Tratamiento
585,Rosario,Ingenieria,Masculino,Universitario,10,Tratamiento
586,Bahia Blanca,Ingenieria,Femenino,Terciario,4,Control
587,Mar del Plata,Ingenieria,No binario,Universitario,6,Control
588,Buenos Aires,Ingenieria,Masculino,Terciario,0,Tratamiento
589,Bahia Blanca,Ingenieria,Masculino,Universitario,3,Control
590,Bahia Blanca,Ventas,Masculino,Universitario,7,Control
591,Mar del Plata,Ingenieria,Femenino,Universitario,2,Control
592,Bahia Blanca,RRHH,Masculino,Posgrado,11,Control
593,Cordoba,Ingenieria,Masculino,Universitario,11,Control
594,Bahia Blanca,Ingenieria,Masculino,Terciario,3,Control
595,Cordoba,Ventas,Masculino,Posgrado,4,Control
596,Mar del Plata,Operaciones,Masculino,Terciario,2,Control
597,Mendoza,Ingenieria,Masculino,Secundario,6,Tratamiento
598,Mar del Plata,Ingenieria,Masculino,Universitario,1,Control
599,Mendoza,Ingenieria,Femenino,Terciario,4,Tratamiento
600,Mendoza,Producto,Masculino,Terciario,6,Tratamiento
